[129.48] node 0: n_msg = 1; bytes = 131072; sys_bytes = 265776
[130.50] node 0: n_msg = 4; bytes = 35600; sys_bytes = 65028
[131.78] node 0: n_msg = 19; bytes = 172560; sys_bytes = 189828
[132.81] node 0: n_msg = 1; bytes = 131072; sys_bytes = 132916
[134.08] node 0: n_msg = 11929; bytes = 226496; sys_bytes = 278948
[135.20] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133060
[136.40] node 0: n_msg = 4; bytes = 35600; sys_bytes = 195000
[137.54] node 0: n_msg = 19; bytes = 34144; sys_bytes = 192572
[138.65] node 0: n_msg = 2; bytes = 262144; sys_bytes = 132888
[139.85] node 0: n_msg = 10248; bytes = 81984; sys_bytes = 278976
[140.92] node 0: n_msg = 1; bytes = 131072; sys_bytes = 132888
[142.02] node 0: n_msg = 1; bytes = 11152; sys_bytes = 172128
[143.12] node 0: n_msg = 16; bytes = 19184; sys_bytes = 38144
[144.20] node 0: n_msg = 5; bytes = 166672; sys_bytes = 177500
[145.31] node 0: n_msg = 8065; bytes = 195584; sys_bytes = 141904
[146.42] node 0: n_msg = 4033; bytes = 163328; sys_bytes = 269932
[147.56] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133132
[148.67] node 0: n_msg = 6; bytes = 39408; sys_bytes = 201636
[149.80] node 0: n_msg = 19; bytes = 172560; sys_bytes = 185864
[150.89] node 0: n_msg = 169; bytes = 132416; sys_bytes = 132888
[152.01] node 0: n_msg = 10248; bytes = 81984; sys_bytes = 146088
[153.07] node 0: n_msg = 2; bytes = 262144; sys_bytes = 265776
[154.24] node 0: n_msg = 0; bytes = 0; sys_bytes = 160736
[155.35] node 0: n_msg = 18; bytes = 32240; sys_bytes = 50264
[156.60] node 0: n_msg = 5; bytes = 166672; sys_bytes = 309632
[157.70] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 141688
[158.94] node 0: n_msg = 4034; bytes = 294400; sys_bytes = 270176
[160.06] node 0: n_msg = 0; bytes = 0; sys_bytes = 149400
[161.11] node 0: n_msg = 18; bytes = 41488; sys_bytes = 56908
[162.22] node 0: n_msg = 7; bytes = 170480; sys_bytes = 181540
[163.24] node 0: n_msg = 4536; bytes = 36288; sys_bytes = 138704
[164.33] node 0: n_msg = 4119; bytes = 163960; sys_bytes = 273056
[165.42] node 0: n_msg = 1; bytes = 131072; sys_bytes = 132992
[166.63] node 0: n_msg = 3; bytes = 28952; sys_bytes = 195788
[167.84] node 0: n_msg = 19; bytes = 34144; sys_bytes = 53976
[169.04] node 0: n_msg = 338; bytes = 264832; sys_bytes = 270764
[170.12] node 0: n_msg = 8736; bytes = 69888; sys_bytes = 145584
[171.21] node 0: n_msg = 2; bytes = 262144; sys_bytes = 266280
[172.29] node 0: n_msg = 0; bytes = 0; sys_bytes = 138064
[173.40] node 0: n_msg = 18; bytes = 32240; sys_bytes = 72524
[174.52] node 0: n_msg = 5; bytes = 166672; sys_bytes = 310220
[175.57] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 9156
[176.69] node 0: n_msg = 4033; bytes = 163328; sys_bytes = 269932
[177.76] node 0: n_msg = 1; bytes = 131072; sys_bytes = 265776
[178.90] node 0: n_msg = 6; bytes = 39408; sys_bytes = 69932
[179.93] node 0: n_msg = 18; bytes = 172496; sys_bytes = 184924
[181.10] node 0: n_msg = 337; bytes = 133760; sys_bytes = 133000
