[98.97] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[100.07] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[101.15] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 3175
[102.23] node 0: n_msg = 159768; bytes = 943488; sys_bytes = 61144
[103.44] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[104.51] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[105.63] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[106.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[107.76] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[108.85] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[109.91] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[110.95] node 0: n_msg = 206203; bytes = 140637072; sys_bytes = 43639876
[112.06] node 0: n_msg = 198537; bytes = 377317536; sys_bytes = 98217418
[113.15] node 0: n_msg = 170784; bytes = 555939544; sys_bytes = 139654190
[114.24] node 0: n_msg = 243528; bytes = 159811584; sys_bytes = 40439025
[115.34] node 0: n_msg = 3192; bytes = 0; sys_bytes = 3169
[116.35] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[117.44] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[118.50] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[119.53] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[120.62] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[121.68] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[122.77] node 0: n_msg = 168; bytes = 1344; sys_bytes = 0
[123.87] node 0: n_msg = 173712; bytes = 1063104; sys_bytes = 64319
[124.90] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[126.01] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[127.11] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[128.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[129.26] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[130.32] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[131.38] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[132.44] node 0: n_msg = 336; bytes = 2688; sys_bytes = 0
[133.50] node 0: n_msg = 177072; bytes = 1061760; sys_bytes = 64977
[134.50] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[135.62] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[136.68] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[137.80] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[138.87] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[139.96] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[140.99] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[142.13] node 0: n_msg = 3024; bytes = 24192; sys_bytes = 416
[143.20] node 0: n_msg = 173880; bytes = 1036224; sys_bytes = 63942
[144.36] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[145.41] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[146.50] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[147.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[148.66] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[149.67] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[150.82] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[151.88] node 0: n_msg = 3864; bytes = 30912; sys_bytes = 1463
[152.96] node 0: n_msg = 168000; bytes = 991872; sys_bytes = 62807
[154.04] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[155.10] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[156.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[157.29] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[158.30] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[159.43] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[160.43] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[161.59] node 0: n_msg = 2688; bytes = 21504; sys_bytes = 416
[162.62] node 0: n_msg = 209160; bytes = 200232144; sys_bytes = 50247163
[163.76] node 0: n_msg = 167088; bytes = 357666528; sys_bytes = 90555162
[164.83] node 0: n_msg = 163896; bytes = 357706176; sys_bytes = 90548666
[165.87] node 0: n_msg = 162552; bytes = 357695424; sys_bytes = 90548664
[166.96] node 0: n_msg = 115416; bytes = 471744; sys_bytes = 52753
[168.05] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[169.12] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[170.18] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[171.22] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[172.31] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[173.41] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[174.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[175.66] node 0: n_msg = 3696; bytes = 29568; sys_bytes = 800
[176.83] node 0: n_msg = 173208; bytes = 1030848; sys_bytes = 63512
